%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798283672731619,2321213952.0,64.4980621338,0.0,65.6048812866,63.245552063,68.0
1651798283672761522,2321213952.0,64.4980621338,0.0,65.6048812866,63.245552063,68.0
1651798283672773725,2321213952.0,64.4980621338,0.0,65.6048812866,63.245552063,68.0
1651798283672809121,2321213952.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283672838615,2321213952.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283674807687,2321216000.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283674828365,2321216000.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283674863703,2321216000.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283674874070,2321216000.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283674890204,2321216000.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283676799532,2321218048.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283676832788,2321218048.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283676853085,2321218048.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283676865797,2321218048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283676887882,2321218048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283678837475,2321220096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283678862353,2321220096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283678882539,2321220096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283678900100,2321220096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283678930864,2321220096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283680912388,2321221888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283680965032,2321221888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283680987952,2321221888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798283681004490,2321221888.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283681019154,2321221888.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283682751056,2321223936.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283682777450,2321223936.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283682817456,2321223936.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283682832307,2321223936.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283682856509,2321223936.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283684882218,2321225984.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283684910737,2321225984.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283684921214,2321225984.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283684931177,2321225984.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283684940522,2321225984.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283686818952,2321228032.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283686834003,2321228032.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283686843602,2321228032.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283686875763,2321228032.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283686895625,2321228032.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283688869211,2321230080.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283688899791,2321230080.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283688915942,2321230080.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283688954130,2321230080.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283689010313,2321230080.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283690881716,2321231872.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283690900797,2321231872.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283690938080,2321231872.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283690987964,2321231872.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283691040074,2321231872.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283693100931,2321233920.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283693136927,2321233920.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283693153970,2321233920.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283693172449,2321233920.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283693228782,2321233920.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283695008117,2321235968.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283695029690,2321235968.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283695038277,2321235968.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283695051452,2321235968.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283695078237,2321235968.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283696183397,2321238016.0,66.5732650757,0.0,65.6048812866,57.6888198853,68.0
1651798283696206975,2321238016.0,66.5732650757,0.0,65.6048812866,57.6888198853,68.0
1651798283696229263,2321238016.0,66.5732650757,0.0,63.245552063,57.6888198853,68.0
1651798283696246055,2321238016.0,66.5732650757,0.0,63.245552063,61.0573501587,68.0
1651798283696327132,2321238016.0,66.5732650757,0.0,63.245552063,61.0573501587,64.4980621338
1651798283698087707,2321240064.0,64.4980621338,0.0,63.245552063,61.0573501587,64.4980621338
1651798283698105912,2321240064.0,64.4980621338,0.0,63.245552063,61.0573501587,64.4980621338
1651798283698121471,2321240064.0,64.4980621338,0.0,65.6048812866,61.0573501587,64.4980621338
1651798283698133867,2321240064.0,64.4980621338,0.0,65.6048812866,57.6888198853,64.4980621338
1651798283698143051,2321240064.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283700159820,2321242112.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283700198101,2321242112.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283700225330,2321242112.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283700252690,2321242112.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283700284233,2321242112.0,64.4980621338,0.0,65.6048812866,61.0573501587,68.0
1651798283702202491,2321243904.0,66.5732650757,0.0,65.6048812866,61.0573501587,68.0
1651798283702218140,2321243904.0,66.5732650757,0.0,65.6048812866,61.0573501587,68.0
1651798283702243415,2321243904.0,66.5732650757,0.0,63.245552063,61.0573501587,68.0
1651798283702265084,2321243904.0,66.5732650757,0.0,63.245552063,64.4980621338,68.0
1651798283702274006,2321243904.0,66.5732650757,0.0,63.245552063,64.4980621338,64.4980621338
1651798283704291145,2321245952.0,64.4980621338,0.0,63.245552063,64.4980621338,64.4980621338
1651798283704315545,2321245952.0,64.4980621338,0.0,63.245552063,64.4980621338,64.4980621338
1651798283704331989,2321245952.0,64.4980621338,0.0,65.6048812866,64.4980621338,64.4980621338
1651798283704365904,2321245952.0,64.4980621338,0.0,65.6048812866,57.6888198853,64.4980621338
1651798283704382671,2321245952.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283706338741,2321248000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283706359198,2321248000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283706371353,2321248000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283706389435,2321248000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283706403292,2321248000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283708418782,2321250048.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283708455884,2321250048.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283708480755,2321250048.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283708493681,2321250048.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283708504593,2321250048.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283710421217,2321252096.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283710440853,2321252096.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283710452145,2321252096.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283710468199,2321252096.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283710477841,2321252096.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283712488606,2321253888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283712517118,2321253888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283712531314,2321253888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283712549506,2321253888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283712570047,2321253888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283714535704,2321255936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283714557408,2321255936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798283714577478,2321255936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
