%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798232090901404,2269632000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232090939472,2269632000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232090971943,2269632000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232090983650,2269632000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232090996593,2269632000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232092848014,2269634048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232092868675,2269634048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232092887582,2269634048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232092906519,2269634048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232092933334,2269634048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232094849745,2269636096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232094877308,2269636096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232094887679,2269636096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232094901394,2269636096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232094930444,2269636096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232096911704,2269637888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232096935252,2269637888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232096957674,2269637888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232096993386,2269637888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232097014735,2269637888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232099025680,2269639936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232099052713,2269639936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232099088084,2269639936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232099140829,2269639936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232099209300,2269639936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232101009099,2269641984.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232101035272,2269641984.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232101048165,2269641984.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232101061382,2269641984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232101077540,2269641984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232102955742,2269644032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232102977382,2269644032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232102997929,2269644032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232103029178,2269644032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232103043782,2269644032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232105127334,2269646080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232105168706,2269646080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232105189651,2269646080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232105202581,2269646080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232105221698,2269646080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232107123776,2269647872.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232107139646,2269647872.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232107170834,2269647872.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232107187312,2269647872.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232107218442,2269647872.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232109145863,2269649920.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232109182691,2269649920.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232109214027,2269649920.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232109232169,2269649920.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232109251580,2269649920.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232111119686,2269651968.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232111137000,2269651968.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232111151523,2269651968.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232111164794,2269651968.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232111225637,2269651968.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232113285862,2269654016.0,66.5732650757,0.0,65.6048812866,60.0,68.0
1651798232113308702,2269654016.0,66.5732650757,0.0,65.6048812866,60.0,68.0
1651798232113349205,2269654016.0,66.5732650757,0.0,63.245552063,60.0,68.0
1651798232113358570,2269654016.0,66.5732650757,0.0,63.245552063,61.0573501587,68.0
1651798232113364177,2269654016.0,66.5732650757,0.0,63.245552063,61.0573501587,64.4980621338
1651798232115282628,2269656064.0,64.4980621338,0.0,63.245552063,61.0573501587,64.4980621338
1651798232115295217,2269656064.0,64.4980621338,0.0,63.245552063,61.0573501587,64.4980621338
1651798232115309052,2269656064.0,64.4980621338,0.0,65.6048812866,61.0573501587,64.4980621338
1651798232115337695,2269656064.0,64.4980621338,0.0,65.6048812866,60.0,64.4980621338
1651798232115348780,2269656064.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232117464731,2269658112.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232117482141,2269658112.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232117495677,2269658112.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232117526981,2269658112.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232117544989,2269658112.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232118376755,2269659904.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232118394913,2269659904.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232118410302,2269659904.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232118423739,2269659904.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232118442606,2269659904.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232120452980,2269661952.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232120472037,2269661952.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232120527502,2269661952.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232120552155,2269661952.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232120575626,2269661952.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232122502566,2269664000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232122533420,2269664000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232122559970,2269664000.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232122577269,2269664000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232122591639,2269664000.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232124506470,2269666048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232124533870,2269666048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232124551737,2269666048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232124568082,2269666048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232124599835,2269666048.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232126552873,2269668096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232126572632,2269668096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232126600373,2269668096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232126613246,2269668096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232126661677,2269668096.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232128648544,2269669888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232128670334,2269669888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232128686555,2269669888.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232128708241,2269669888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232128723326,2269669888.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232130681426,2269671936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232130717636,2269671936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232130730308,2269671936.0,64.4980621338,0.0,65.6048812866,57.6888198853,68.0
1651798232130746593,2269671936.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232130761697,2269671936.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232132722223,2269673984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232132748079,2269673984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232132767357,2269673984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232132778165,2269673984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232132793023,2269673984.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232134756722,2269676032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232134781984,2269676032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232134805592,2269676032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232134826316,2269676032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232134847094,2269676032.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232136911796,2269678080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232136931117,2269678080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232136964133,2269678080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
1651798232136971701,2269678080.0,64.4980621338,0.0,65.6048812866,60.0,68.0
