%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798486520321308,2524061952.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486520352173,2524061952.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486520361170,2524061952.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486520391249,2524061952.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486520418816,2524061952.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486521258734,2524064000.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486521278526,2524064000.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486521299812,2524064000.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486521332197,2524064000.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486521350586,2524064000.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486523314789,2524066048.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486523333295,2524066048.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486523341581,2524066048.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486523364220,2524066048.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486523378129,2524066048.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486525259421,2524068096.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486525274299,2524068096.0,0.0,65.6048812866,60.0,68.0,64.4980621338
1651798486525294178,2524068096.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486525310122,2524068096.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486525333302,2524068096.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486527353955,2524069888.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486527377186,2524069888.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486527412083,2524069888.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486527430756,2524069888.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486527449883,2524069888.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486529514384,2524071936.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486529537284,2524071936.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486529556852,2524071936.0,0.0,65.6048812866,61.0573501587,68.0,64.4980621338
1651798486529569274,2524071936.0,0.0,65.6048812866,61.0573501587,68.0,64.4980621338
1651798486529581369,2524071936.0,0.0,65.6048812866,61.0573501587,68.0,64.4980621338
1651798486531514007,2524073984.0,0.0,65.6048812866,61.0573501587,68.0,64.4980621338
1651798486531550471,2524073984.0,0.0,65.6048812866,61.0573501587,68.0,64.4980621338
1651798486531566487,2524073984.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486531579598,2524073984.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486531591973,2524073984.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486533637417,2524076032.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
1651798486533679076,2524076032.0,0.0,65.6048812866,57.6888198853,68.0,64.4980621338
