%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798257832600393,2295374080.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257832639567,2295374080.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257832673729,2295374080.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257832694053,2295374080.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257832707251,2295374080.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257834484810,2295375872.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257834511602,2295375872.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257834535140,2295375872.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257834561541,2295375872.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257834579478,2295375872.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257836620369,2295377920.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257836644852,2295377920.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257836654137,2295377920.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257836669459,2295377920.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257836701967,2295377920.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257838615168,2295379968.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257838649676,2295379968.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257838710512,2295379968.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257838723143,2295379968.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257838728357,2295379968.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257840766405,2295382016.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257840794353,2295382016.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257840815679,2295382016.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257840836066,2295382016.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257840854351,2295382016.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257842723750,2295384064.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257842761624,2295384064.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257842791353,2295384064.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257842799548,2295384064.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257842813873,2295384064.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257844745433,2295386112.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257844792946,2295386112.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257844810570,2295386112.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257844840272,2295386112.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257844880912,2295386112.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257846746096,2295387904.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257846764313,2295387904.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257846781424,2295387904.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257846788248,2295387904.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257846805084,2295387904.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257848793654,2295389952.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257848813700,2295389952.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257848845868,2295389952.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257848858942,2295389952.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257848878927,2295389952.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257850803046,2295392000.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257850847004,2295392000.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257850859402,2295392000.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257850868306,2295392000.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257850883414,2295392000.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
1651798257852924623,2295394048.0,64.4980621338,0.0,63.245552063,63.245552063,64.4980621338
