%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798247817405424,2285358080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247817450985,2285358080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247817488415,2285358080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247817500526,2285358080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247817525621,2285358080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247819316369,2285360128.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247819334200,2285360128.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247819371736,2285360128.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247819383660,2285360128.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247819400522,2285360128.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247820293636,2285361920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247820328792,2285361920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247820379010,2285361920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247820395394,2285361920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247820404538,2285361920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247822265364,2285363968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247822279984,2285363968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247822292516,2285363968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247822395194,2285363968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247822418357,2285363968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247824440535,2285366016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247824470931,2285366016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247824518227,2285366016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247824531180,2285366016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247824539860,2285366016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247826491415,2285368064.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247826529052,2285368064.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247826550715,2285368064.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247826566264,2285368064.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247826595324,2285368064.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247828549481,2285370112.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247828564213,2285370112.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247828583317,2285370112.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247828606226,2285370112.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247828622998,2285370112.0,69.9714202881,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247830587737,2285371904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247830613289,2285371904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247830634912,2285371904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247830654076,2285371904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247830668158,2285371904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247832545579,2285373952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247832568442,2285373952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247832585130,2285373952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247832610383,2285373952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247832625967,2285373952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247834596768,2285376000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247834629451,2285376000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247834640750,2285376000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247834651102,2285376000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247834664202,2285376000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247836573587,2285378048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247836623799,2285378048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247836636759,2285378048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247836656979,2285378048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247836674120,2285378048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247838614371,2285380096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247838649787,2285380096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247838678876,2285380096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247838699420,2285380096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247838721741,2285380096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247840751583,2285381888.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247840772331,2285381888.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247840783574,2285381888.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247840794016,2285381888.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247840806804,2285381888.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247842716696,2285383936.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247842739258,2285383936.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247842753047,2285383936.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247842781242,2285383936.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247842791987,2285383936.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247844817530,2285385984.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247844836686,2285385984.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247844846194,2285385984.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247844856312,2285385984.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247844870014,2285385984.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247846829427,2285388032.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247846850310,2285388032.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247846858108,2285388032.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247846870001,2285388032.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247846889668,2285388032.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247848878797,2285390080.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247848900914,2285390080.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247848911931,2285390080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247848926088,2285390080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247849008792,2285390080.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247850888799,2285391872.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247850914141,2285391872.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247850926382,2285391872.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247850936778,2285391872.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247850951557,2285391872.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247852994274,2285393920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247853013096,2285393920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247853025517,2285393920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247853034395,2285393920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247853051630,2285393920.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247854934188,2285395968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247854957137,2285395968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247854977015,2285395968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247854994151,2285395968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247855008217,2285395968.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247857037101,2285398016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247857051537,2285398016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247857070842,2285398016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247857082961,2285398016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247857112310,2285398016.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247859091120,2285400064.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247859126995,2285400064.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247859140316,2285400064.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247859173357,2285400064.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247859183035,2285400064.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247861118526,2285402112.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247861143954,2285402112.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247861214275,2285402112.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247861247117,2285402112.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247861264587,2285402112.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247862144233,2285403904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247862160914,2285403904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247862170167,2285403904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247862186486,2285403904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247862220509,2285403904.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247864250589,2285405952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247864262756,2285405952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247864310074,2285405952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247864322924,2285405952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247864332563,2285405952.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247866379973,2285408000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247866396345,2285408000.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247866439109,2285408000.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247866476441,2285408000.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247866510013,2285408000.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247868511110,2285410048.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247868540326,2285410048.0,68.0,0.0,63.245552063,66.5732650757,62.6099052429
1651798247868557151,2285410048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247868576598,2285410048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247868586790,2285410048.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247870472055,2285412096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
1651798247870495592,2285412096.0,68.0,0.0,65.6048812866,66.5732650757,62.6099052429
